comparison,duration.months,measure,treatment,studies,participants,effect.size,se1,se2
brushing.and.flossing versus brushing,1,gingival.index,total,7,489,-0.36,-0.66,-0.05
brushing.and.flossing versus brushing,1,gingival.index,manual.flossing,6,383,-0.42,-0.78,-0.07
brushing.and.flossing versus brushing,1,gingival.index,automated.flossing,2,106,-0.16,-0.8,0.47
brushing.and.flossing versus brushing,1,plaque,total,5,416,-0.23,-0.52,0.06
brushing.and.flossing versus brushing,1,plaque,manual.flossing,4,310,-0.28,-0.7,0.14
brushing.and.flossing versus brushing,1,plaque,automated.flossing,2,106,-0.12,-0.12,0.27
brushing.and.flossing versus brushing,3,gingival.index,total,6,656,-0.41,-0.68,-0.14
brushing.and.flossing versus brushing,3,plaque,total,5,594,-0.2,-0.36,-0.04
brushing.and.flossing versus brushing,6,gingival.index,total,4,564,-0.72,-1.09,-0.35
brushing.and.flossing versus brushing,6,plaque,total,3,487,-0.06,-0.23,0.12
